BUILDING,ROAD,TOWN,X_COR,Y_COR,POSTCODE,USE
314,SEACOAST ROAD,LIMAVADY,265611,431395,BT49 0JY,RESIDENTIAL
0,SEACOAST ROAD,LIMAVADY,265686,431787,BT49 0LA,UNKNOWN
366,SEACOAST ROAD,LIMAVADY,266101,432758,BT49 0LA,RESIDENTIAL
350,SEACOAST ROAD,LIMAVADY,266159,432326,BT49 0LA,RESIDENTIAL
332,SEACOAST ROAD,LIMAVADY,266323,432117,BT49 0LA,RESIDENTIAL
420,SEACOAST ROAD,LIMAVADY,266339,433659,BT49 0LD,RESIDENTIAL
362,SEACOAST ROAD,LIMAVADY,266420,432679,BT49 0LA,RESIDENTIAL
326,SEACOAST ROAD,LIMAVADY,266514,431956,BT49 0LA,RESIDENTIAL
386,SEACOAST ROAD,LIMAVADY,266560,432908,BT49 0LA,RESIDENTIAL
360,SEACOAST ROAD,LIMAVADY,266621,432587,BT49 0LA,RESIDENTIAL
470,SEACOAST ROAD,LIMAVADY,266642,434403,BT49 0LF,RESIDENTIAL
404,SEACOAST ROAD,LIMAVADY,266712,433139,BT49 0LD,UNKNOWN
298,SEACOAST ROAD,LIMAVADY,266717,431235,BT49 0JY,RESIDENTIAL
346,SEACOAST ROAD,LIMAVADY,266740,432186,BT49 0LA,RESIDENTIAL
15,OUGHTYMOYLE AVENUE,LIMAVADY,266744,431720,BT49 0JZ,RESIDENTIAL
16,OUGHTYMOYLE AVENUE,LIMAVADY,266744,431731,BT49 0JZ,RESIDENTIAL
340,SEACOAST ROAD,LIMAVADY,266748,432184,BT49 0LA,RESIDENTIAL
14,OUGHTYMOYLE AVENUE,LIMAVADY,266757,431708,BT49 0JZ,RESIDENTIAL
17,OUGHTYMOYLE AVENUE,LIMAVADY,266757,431751,BT49 0JZ,RESIDENTIAL
342,SEACOAST ROAD,LIMAVADY,266759,432182,BT49 0LA,RESIDENTIAL
13,OUGHTYMOYLE AVENUE,LIMAVADY,266767,431708,BT49 0JZ,RESIDENTIAL
18,OUGHTYMOYLE AVENUE,LIMAVADY,266767,431751,BT49 0JZ,RESIDENTIAL
490,SEACOAST ROAD,LIMAVADY,266780,434646,BT49 0LF,RESIDENTIAL
12,OUGHTYMOYLE AVENUE,LIMAVADY,266782,431706,BT49 0JZ,RESIDENTIAL
11,OUGHTYMOYLE AVENUE,LIMAVADY,266794,431707,BT49 0JZ,RESIDENTIAL
296,SEACOAST ROAD,LIMAVADY,266798,431229,BT49 0JY,RESIDENTIAL
19,OUGHTYMOYLE AVENUE,LIMAVADY,266818,431762,BT49 0JZ,RESIDENTIAL
10,OUGHTYMOYLE AVENUE,LIMAVADY,266820,431707,BT49 0JZ,RESIDENTIAL
0,SEACOAST ROAD,LIMAVADY,266823,433615,BT49 0LD,RESIDENTIAL
430,SEACOAST ROAD,LIMAVADY,266829,433608,BT49 0LD,RESIDENTIAL
9,OUGHTYMOYLE AVENUE,LIMAVADY,266830,431705,BT49 0JZ,RESIDENTIAL
20,OUGHTYMOYLE AVENUE,LIMAVADY,266830,431761,BT49 0JZ,RESIDENTIAL
295,SEACOAST ROAD,LIMAVADY,266838,431252,BT49 0JY,RESIDENTIAL
302,SEACOAST ROAD,LIMAVADY,266838,431437,BT49 0JY,RESIDENTIAL
21,OUGHTYMOYLE AVENUE,LIMAVADY,266841,431760,BT49 0JZ,RESIDENTIAL
22,OUGHTYMOYLE AVENUE,LIMAVADY,266852,431760,BT49 0JZ,RESIDENTIAL
306,SEACOAST ROAD,LIMAVADY,266854,431489,BT49 0JY,RESIDENTIAL
432,SEACOAST ROAD,LIMAVADY,266860,433614,BT49 0LD,RESIDENTIAL
23,OUGHTYMOYLE AVENUE,LIMAVADY,266862,431759,BT49 0JZ,RESIDENTIAL
0,SEACOAST ROAD,LIMAVADY,266864,431456,BT49 0JY,UNKNOWN
5,OUGHTYMOYLE AVENUE,LIMAVADY,266869,431677,BT49 0JZ,RESIDENTIAL
304,SEACOAST ROAD,LIMAVADY,266870,431476,BT49 0JY,COMMERCIAL
308,SEACOAST ROAD,LIMAVADY,266871,431502,BT49 0JY,RESIDENTIAL
6,OUGHTYMOYLE AVENUE,LIMAVADY,266872,431684,BT49 0JZ,RESIDENTIAL
7,OUGHTYMOYLE AVENUE,LIMAVADY,266873,431691,BT49 0JZ,RESIDENTIAL
24,OUGHTYMOYLE AVENUE,LIMAVADY,266873,431759,BT49 0JZ,RESIDENTIAL
316,SEACOAST ROAD,LIMAVADY,266875,431584,BT49 0JY,RESIDENTIAL
8,OUGHTYMOYLE AVENUE,LIMAVADY,266875,431698,BT49 0JZ,RESIDENTIAL
4,OUGHTYMOYLE AVENUE,LIMAVADY,266885,431665,BT49 0JZ,RESIDENTIAL
297,SEACOAST ROAD,LIMAVADY,266890,431452,BT49 0JY,RESIDENTIAL
3,OUGHTYMOYLE AVENUE,LIMAVADY,266892,431664,BT49 0JZ,RESIDENTIAL
27,OUGHTYMOYLE AVENUE,LIMAVADY,266894,431734,BT49 0JZ,RESIDENTIAL
28,OUGHTYMOYLE AVENUE,LIMAVADY,266895,431725,BT49 0JZ,RESIDENTIAL
